Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
KS18,KSW,68560,1,49,1
KS18,KSW,68560,1,52,1
KS18,KSW,68560,1,53,1
KS18,KSW,68560,1,54,1
KS18,KSW,68560,1,55,1
KS18,KSW,68560,1,55,1
KS18,KSW,68560,1,57,1
KS18,KSW,68560,1,61,2.7
KS18,KSW,68560,1,62,1
KS18,KSW,68560,1,66,1
KS18,KSW,68560,1,69,2.7
KS18,KSW,68560,1,71,2.7
KS18,KSW,68560,1,73,1
KS18,KSW,68560,1,79,1
KS18,KSW,68560,1,85,1
KS18,KSW,68560,1,87,2.7
KS18,KSW,68560,1,89,1
KS18,KSW,68560,1,108,1
KS18,KSW,68560,1,116,1
KS18,KSW,68560,1,136,1
KS18,KSW,68560,1,145,1
KS18,KSW,68560,2,28,1
KS18,KSW,68560,2,28,1
KS18,KSW,68560,2,29,1
KS18,KSW,68560,2,32,1
KS18,KSW,68560,2,37,1
KS18,KSW,68560,2,40,1
KS18,KSW,68560,2,41,1
KS18,KSW,68560,2,41,1
KS18,KSW,68560,2,41,1
KS18,KSW,68560,2,42,1
KS18,KSW,68560,2,43,1
KS18,KSW,68560,2,43,1
KS18,KSW,68560,2,43,1
KS18,KSW,68560,2,44,1
KS18,KSW,68560,2,44,1
KS18,KSW,68560,2,45,1
KS18,KSW,68560,2,46,1
KS18,KSW,68560,2,50,1
KS18,KSW,68560,2,50,1
KS18,KSW,68560,2,50,1
KS18,KSW,68560,2,50,1
KS18,KSW,68560,2,52,1
KS18,KSW,68560,2,54,2.7
KS18,KSW,68560,2,55,1
KS18,KSW,68560,2,56,2.7
KS18,KSW,68560,2,57,1
KS18,KSW,68560,2,59,1
KS18,KSW,68560,2,59,1
KS18,KSW,68560,2,59,1
KS18,KSW,68560,2,60,1
KS18,KSW,68560,2,60,1
KS18,KSW,68560,2,63,1
KS18,KSW,68560,2,65,2.7
KS18,KSW,68560,2,66,1
KS18,KSW,68560,2,67,1
KS18,KSW,68560,2,68,1
KS18,KSW,68560,2,69,1
KS18,KSW,68560,2,69,1
KS18,KSW,68560,2,70,1
KS18,KSW,68560,2,73,1
KS18,KSW,68560,2,74,1
KS18,KSW,68560,2,74,1
KS18,KSW,68560,2,75,1
KS18,KSW,68560,2,76,1
KS18,KSW,68560,2,76,1
KS18,KSW,68560,2,77,2.7
KS18,KSW,68560,2,79,1
KS18,KSW,68560,2,81,1
KS18,KSW,68560,2,82,1
KS18,KSW,68560,2,85,2.7
KS18,KSW,68560,2,90,2.7
KS18,KSW,68560,2,94,1
